19,-0.130196,0.276323,-0.787585
34,-0.13044,0.297931,-0.773302
50,-0.130318,0.315632,-0.759263
65,-0.130074,0.334066,-0.745224
81,-0.129463,0.358848,-0.731917
97,-0.12983,0.392907,-0.714216
112,-0.131539,0.418177,-0.695538
128,-0.130928,0.436245,-0.686504
143,-0.127754,0.456266,-0.684185
159,-0.064884,0.570775,-0.668681
175,0.052554,0.371788,-0.99707
190,0.104315,0.365562,-0.967771
206,0.182445,0.44772,-0.866081
222,0.327107,0.473601,-0.807605
237,0.462247,0.288653,-1.040164
253,0.478118,0.022157,-1.269181
268,0.517427,0.10224,-1.207288
284,0.601416,0.389001,-1.054569
300,0.618507,0.374107,-1.048099
316,0.600195,0.268144,-1.041995
331,0.628639,0.254593,-0.996582
347,0.676616,0.240066,-0.999512
362,0.709211,0.155588,-1.078496
378,0.718977,0.019471,-1.173106
394,0.722395,-0.015321,-1.172008
409,0.706769,0.069645,-1.150156
425,0.705182,0.159128,-1.155649
440,0.707135,0.16511,-1.155893
456,0.708234,0.171214,-1.154673
472,0.707868,0.179271,-1.155893
487,0.708234,0.188671,-1.158091
503,0.699322,0.221754,-1.173473
519,0.679302,0.251297,-1.163828
534,0.638772,0.265458,-1.121589
550,0.59104,0.297565,-1.076909
566,0.556369,0.354819,-1.063969
581,0.143991,0.477019,-0.82787
597,0.073552,0.540011,-0.770372
612,0.016541,0.57871,-0.743515
628,-0.011781,0.55466,-0.769517
643,-0.069645,0.442715,-0.876701
659,-0.086004,0.403284,-0.919062
686,-0.14277,0.393151,-0.90246
701,-0.276079,0.52524,-0.85546
717,-0.341879,0.687969,-0.871208
733,-0.348471,0.697857,-0.90307
748,-0.393518,0.53879,-0.915034
764,-0.43478,0.456266,-0.883538
779,-0.514497,0.421107,-0.84899
795,-0.615577,0.440395,-0.800525
811,-0.661234,0.488372,-0.764268
826,-0.717512,0.537203,-0.723128
842,-0.762925,0.566624,-0.715437
858,-0.773302,0.583349,-0.740341
873,-0.774767,0.545504,-0.766343
889,-0.773546,0.530733,-0.769883
904,-0.787218,0.434536,-0.786608
920,-0.79906,0.407679,-0.771104
936,-0.812855,0.396814,-0.73619
953,-0.831533,0.426479,-0.719832
967,-0.840444,0.436001,-0.718367
983,-0.83605,0.430874,-0.736434
998,-0.861808,0.287432,-0.778185
1014,-0.85485,0.291216,-0.752915
1030,-0.820057,0.334188,-0.706647
1047,-0.766954,0.350058,-0.717756
1061,-0.672587,0.308918,-0.793444
1076,-0.655497,0.305866,-0.794055
1092,-0.646585,0.305622,-0.797107
1108,-0.633767,0.30611,-0.800281
1123,-0.596899,0.299396,-0.820912
1139,-0.520479,0.266801,-0.878655
1154,-0.479338,0.222731,-0.904413
1170,-0.474944,0.354575,-0.814686
1186,-0.42245,0.618995,-0.661478
1202,0.009827,0.506928,-1.015382
1217,0.075627,0.333089,-1.04468
1232,0.12104,0.342855,-0.98474
1248,0.150461,0.38546,-0.961912
1264,0.178905,0.417933,-0.993286
1279,0.180858,0.416957,-0.999634
1295,0.171947,0.370201,-1.087408
1311,0.176097,0.313068,-1.110969
1326,0.192822,0.318196,-1.064579
1342,0.219679,0.364829,-0.959104
1357,0.221998,0.389733,-0.926753
1373,0.271928,0.418422,-0.933712
1389,0.357383,0.586401,-0.78673
1404,0.389489,0.580419,-0.840322
1420,0.414515,0.269609,-1.04993
1436,0.408411,0.147775,-1.10694
1451,0.455289,0.243484,-1.02527
1467,0.528047,0.340048,-1.036501
1484,0.553439,0.291705,-1.098639
1498,0.573582,0.276323,-1.053226
1514,0.583349,0.29671,-1.007935
1529,0.592382,0.32198,-0.971312
1545,0.603003,0.346029,-0.97534
1561,0.610084,0.353842,-0.999756
1576,0.595801,0.326985,-0.993164
1592,0.576878,0.277178,-0.998413
1607,0.576756,0.240798,-1.031984
1623,0.580663,0.207105,-1.093512
1639,0.574071,0.210279,-1.084356
1655,0.554904,0.246902,-1.040286
1670,0.536471,0.273637,-1.028688
1686,0.531221,0.281939,-1.0188
1702,0.517305,0.34432,-0.971678
1717,0.515718,0.348349,-0.968382
1734,0.513764,0.352255,-0.964597
1748,0.511201,0.35604,-0.960569
1764,0.499969,0.385949,-0.922481
1779,0.467985,0.437832,-0.849478
1795,0.445767,0.454801,-0.824818
1811,0.382409,0.447842,-0.85839
1826,0.329305,0.47299,-0.912104
1842,0.3243,0.546115,-0.966062
1858,0.086858,0.633523,-0.879265
