You entered a buffer length of 6,,,,,,,
RAW,0.851553,0.55698,-0.641091, AVG ,0.859611,0.59928,-0.703676
RAW,0.832753,0.541598,-0.624245, AVG ,0.853364,0.59106,-0.689068
RAW,0.807239,0.718977,-0.623634, AVG ,0.844737,0.608924,-0.67218
RAW,0.891595,0.65745,-0.614967, AVG ,0.851065,0.616127,-0.653564
RAW,0.97827,0.554904,-0.59519, AVG ,0.87133,0.60636,-0.632444
RAW,0.746078,0.637307,-0.507905, AVG ,0.851248,0.611203,-0.601172
RAW,0.376915,0.611304,-0.388635, AVG ,0.772142,0.620257,-0.559096
RAW,-0.084295,0.624977,-0.383263, AVG ,0.6193,0.634153,-0.518932
RAW,-0.290606,0.709089,-0.313191, AVG ,0.436326,0.632505,-0.467192
RAW,-0.518892,0.8214,-0.221754, AVG ,0.201245,0.65983,-0.401656
RAW,-0.310871,1.33022,-0.502899, AVG ,-0.013612,0.789049,-0.386275
RAW,-0.413783,0.855338,-0.443447, AVG ,-0.206922,0.825388,-0.375531
RAW,-0.408167,0.389001,-0.481658, AVG ,-0.337769,0.788338,-0.391035
RAW,-0.481414,0.283526,-0.571995, AVG ,-0.403956,0.731429,-0.422491
RAW,-0.492645,0.196362,-0.795031, AVG ,-0.437629,0.645975,-0.502797
RAW,-0.20564,0.348471,-1.2162, AVG ,-0.38542,0.567153,-0.668538
RAW,-0.365318,0.175487,-0.859855, AVG ,-0.394494,0.374697,-0.728031
RAW,-0.182445,0.708478,-1.077153, AVG ,-0.355938,0.350221,-0.833649
RAW,-0.276689,0.605933,-1.090093, AVG ,-0.334025,0.386376,-0.935055
RAW,-0.384362,0.19038,-0.972899, AVG ,-0.31785,0.370852,-1.001872
RAW,-0.317341,0.043887,-1.08753, AVG ,-0.288633,0.345439,-1.050622
RAW,-0.307941,0.12336,-0.970213, AVG ,-0.305683,0.307921,-1.009624
RAW,-0.47238,0.198315,-0.843252, AVG ,-0.323526,0.311726,-1.006857
RAW,-0.542208,0.065006,-0.88427, AVG ,-0.383487,0.20448,-0.974709
RAW,-0.540133,0.009705,-0.895501, AVG ,-0.427394,0.105109,-0.942278
RAW,-0.53818,-0.000794,-0.893914, AVG ,-0.453031,0.073247,-0.929113
RAW,-0.537081,-0.008118,-0.892449, AVG ,-0.489654,0.064579,-0.8966
RAW,-0.465788,-0.127999,-0.875359, AVG ,-0.515962,0.022686,-0.880791
RAW,-0.354697,-0.255081,-0.93481, AVG ,-0.496348,-0.05288,-0.89605
RAW,-0.233108,-0.127632,-0.923457, AVG ,-0.444831,-0.084987,-0.902582
RAW,-0.433925,-0.324544,-0.872185, AVG ,-0.42713,-0.140695,-0.898696
RAW,-0.403772,-0.301471,-1.040896, AVG ,-0.404729,-0.190808,-0.923193
RAW,-0.31258,0.024721,-0.962278, AVG ,-0.367312,-0.185334,-0.934831
RAW,-0.369224,0.22444,-0.912592, AVG ,-0.351218,-0.126595,-0.941036
RAW,-0.394372,0.307087,-0.909662, AVG ,-0.35783,-0.0329,-0.936845
RAW,-0.39425,0.284868,-0.905512, AVG ,-0.384687,0.03585,-0.933854
RAW,-0.361411,0.157297,-0.891839, AVG ,-0.372602,0.116157,-0.93713
RAW,-0.327474,0.180614,-0.925411, AVG ,-0.359885,0.196504,-0.917882
RAW,-0.381676,0.2397,-0.900751, AVG ,-0.371401,0.232334,-0.907628
RAW,-0.408899,0.164378,-0.811146, AVG ,-0.378014,0.222324,-0.89072
RAW,-0.460905,0.110541,-0.854727, AVG ,-0.389102,0.189566,-0.881564
RAW,-0.500702,0.256913,-0.908442, AVG ,-0.406844,0.184907,-0.882053
RAW,-0.308185,0.388268,-0.793444, AVG ,-0.397973,0.223402,-0.865654
RAW,-0.087225,0.49826,-0.715925, AVG ,-0.357932,0.276343,-0.830739
RAW,0.123848,0.662211,-0.694439, AVG ,-0.273678,0.346762,-0.796354
RAW,0.189892,0.701032,-0.647317, AVG ,-0.173879,0.436204,-0.769049
RAW,0.186596,0.716413,-0.50766, AVG ,-0.065963,0.537183,-0.711205
RAW,0.247635,0.770738,-0.251541, AVG ,0.05876,0.62282,-0.601721
RAW,0.262895,0.777574,-0.190624, AVG ,0.15394,0.687705,-0.501251
RAW,0.316242,0.769273,-0.184521, AVG ,0.221185,0.732874,-0.412684
RAW,0.472258,0.766465,-0.187328, AVG ,0.279253,0.750249,-0.328165
RAW,0.498138,0.767686,-0.19917, AVG ,0.330627,0.761358,-0.253474
RAW,0.868278,0.752548,-0.376915, AVG ,0.444241,0.767381,-0.231683
RAW,1.021486,0.601782,-0.493744, AVG ,0.573216,0.739221,-0.27205
RAW,0.97119,0.490569,-0.63633, AVG ,0.691265,0.691387,-0.346335
RAW,0.928218,0.453824,-0.535982, AVG ,0.793261,0.638812,-0.404912
RAW,1.016358,0.676128,-0.368248, AVG ,0.883945,0.623756,-0.435065
RAW,1.02466,0.7368,-1.002319, AVG ,0.971698,0.618609,-0.568923
RAW,0.720198,0.567601,-0.946042, AVG ,0.947018,0.587784,-0.663778
RAW,0.49704,0.405848,-0.99353, AVG ,0.859611,0.555128,-0.747075
RAW,0.217848,0.277056,-0.990356, AVG ,0.734054,0.519543,-0.80608
RAW,-0.014466,0.195874,-0.986816, AVG ,0.57694,0.476551,-0.881219
RAW,0.048892,0.276201,-0.991699, AVG ,0.415695,0.409897,-0.985127
RAW,0.034487,0.332235,-0.979735, AVG ,0.250666,0.342469,-0.981363
RAW,-0.081975,0.209302,-0.925655, AVG ,0.116971,0.282753,-0.977965
